Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Anxiety,Frank Carter & The Rattlesnakes,End of Suffering,1KS8HJ4sPoHFnryujTqXIf,0nSo7AFdw4vrz7nPGKMOWr,0,2019-05-03,218387,False,https://open.spotify.com/track/0nSo7AFdw4vrz7nPGKMOWr,0.527,0.537,4,-7.182,1,0.0315,0.251,0.0,0.0757,0.165,138.015
I'm Not A Cynic,Alec Benjamin,These Two Windows,3SzqS1H5dj8f450YhV9YbP,4iyGOU2Wtc7oNG4pm3taVd,51,2020-05-29,136910,False,https://open.spotify.com/track/4iyGOU2Wtc7oNG4pm3taVd,0.681,0.71,1,-5.639,1,0.0527,0.117,2.16e-05,0.359,0.795,129.907
In the End,Linkin Park,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,60a0Rd6pjrkxjPbaKzXjfq,87,2000,216880,False,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143
Somewhere I Belong,Linkin Park,Meteora (Bonus Edition),0f7R0jf0pcTb6K6IVVPcMD,3fjmSxt0PskST13CSdBUFx,75,2003-09-16,213933,False,https://open.spotify.com/track/3fjmSxt0PskST13CSdBUFx,0.451,0.951,1,-3.754,1,0.0645,0.000386,2.56e-06,0.261,0.441,162.041
Nobody Praying For Me,Seether,Isolate And Medicate,4ZpfSlHwUXaL6kgFTL6hMk,3bq8WiQrEXMwPAibYs7tpu,62,2014-01-01,197800,True,https://open.spotify.com/track/3bq8WiQrEXMwPAibYs7tpu,0.541,0.916,7,-5.964,0,0.0612,0.00326,2.04e-06,0.0967,0.627,156.015
Rabbit Down the Hole,Billy Talent,Afraid of Heights (Deluxe Version),2kqjqQneZx935suPAhokuj,70JOoSRHnfuZWBI3Jhzmoa,33,2016-07-29,363333,False,https://open.spotify.com/track/70JOoSRHnfuZWBI3Jhzmoa,0.494,0.944,0,-3.29,1,0.051,0.0027,0.0,0.14,0.279,145.064
Lose Yourself,Eminem,8 Mile (Music From And Inspired By The Motion Picture),353HFOqGHySp027oyr3aGs,6GkTKjv1XbFVdI2D8vvDPu,54,2002-10-29,320293,True,https://open.spotify.com/track/6GkTKjv1XbFVdI2D8vvDPu,0.684,0.735,2,-4.596,1,0.273,0.00925,0.000659,0.288,0.06,171.383
Runaway,Linkin Park,Hybrid Theory (20th Anniversary Edition),28DUZ0itKISf2sr6hlseMy,3uO2ODjs7Lqp1DVZ4LtouE,41,2020-10-09,183973,False,https://open.spotify.com/track/3uO2ODjs7Lqp1DVZ4LtouE,0.631,0.873,7,-4.748,1,0.0653,0.0141,0.0,0.253,0.467,109.117
Lowlife,Adam Jensen,Lowlife,7j4mAHajfuyxxcVYkI5zyx,3dxKtWspvsoSWZrGbhvIhe,0,2021-01-15,192045,False,https://open.spotify.com/track/3dxKtWspvsoSWZrGbhvIhe,0.699,0.711,11,-6.204,0,0.0383,0.123,1.55e-05,0.25,0.397,112.028
Do You Call My Name,Ra,From One,25UI5uaK9P010LARRVhCgE,5w0jXRvylCbWxFrJx2H1Fl,52,2002-01-01,317160,False,https://open.spotify.com/track/5w0jXRvylCbWxFrJx2H1Fl,0.438,0.942,4,-5.19,0,0.0575,0.00125,1.01e-06,0.421,0.511,91.299
The Mystic,Adam Jensen,The Mystic,0B6jR5lfIs25GiPYbglLNM,1V8fHRK9qQeQqZWWfz9oNU,0,2016-11-04,189600,False,https://open.spotify.com/track/1V8fHRK9qQeQqZWWfz9oNU,0.557,0.721,4,-5.134,0,0.0416,0.356,0.0,0.146,0.392,125.324
Lying from You,Linkin Park,Meteora (Bonus Edition),0f7R0jf0pcTb6K6IVVPcMD,4qVR3CF8FuFvHN4L6vXlB1,69,2003-09-16,175053,False,https://open.spotify.com/track/4qVR3CF8FuFvHN4L6vXlB1,0.531,0.952,3,-3.361,0,0.205,0.007,0.0,0.0672,0.76,160.125
Crawling,Linkin Park,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,57BrRMwf9LrcmuOsyGilwr,77,2000,208960,False,https://open.spotify.com/track/57BrRMwf9LrcmuOsyGilwr,0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076
Voices,Motionless In White,Graveyard Shift,5ucBd1GYFRg0uVhP4a4AY6,0SnvI0twJ1Mnh0rJlBRrf0,67,2017-05-05,224000,False,https://open.spotify.com/track/0SnvI0twJ1Mnh0rJlBRrf0,0.499,0.937,6,-2.492,1,0.0605,4.54e-05,6.11e-06,0.477,0.569,90.029
Silent Screams,Halford,Resurrection,6kUgTLymqtTyWUIKbmTMyf,0X0q97XtaZHwJsYiDqyxWC,29,2000,426800,False,https://open.spotify.com/track/0X0q97XtaZHwJsYiDqyxWC,0.294,0.86,1,-4.99,1,0.0548,0.00168,0.000127,0.119,0.0724,111.983
My December,Linkin Park,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,0fxGA5lxrdYNYoE7yJxTNZ,57,2000,260560,False,https://open.spotify.com/track/0fxGA5lxrdYNYoE7yJxTNZ,0.73,0.585,0,-9.274,1,0.0238,0.375,0.0101,0.147,0.721,100.021
Breaking the Habit,Linkin Park,Meteora (Bonus Edition),0f7R0jf0pcTb6K6IVVPcMD,3dxiWIBVJRlqh9xk144rf4,72,2003-09-16,196133,False,https://open.spotify.com/track/3dxiWIBVJRlqh9xk144rf4,0.58,0.865,4,-4.359,0,0.0313,0.105,0.0,0.106,0.587,100.016
I'll Sleep When I'm Dead,Set It Off,Cinematics (Deluxe),5ID6i0rp73LaRuNcsLQDiq,72vsd9IEBIonmvIY7TEjXK,57,2012-09-18,204053,False,https://open.spotify.com/track/72vsd9IEBIonmvIY7TEjXK,0.402,0.924,1,-3.867,0,0.159,0.00106,0.0,0.0786,0.445,169.996
Sometimes,Skillet,Awake,0RySAmM6oDPGSE03X3dzi1,6UjAK23BouDme1ZhpjBOcJ,40,2009-08-21,206933,False,https://open.spotify.com/track/6UjAK23BouDme1ZhpjBOcJ,0.456,0.87,4,-3.771,1,0.0442,0.0321,1.21e-05,0.0948,0.529,161.963
Older,Alec Benjamin,Shadow Of Mine,1WOXEZWW81y830KHdqOdVG,7ozAd3eyeWkFA8yC5R2A2U,0,2022-02-25,164396,False,https://open.spotify.com/track/7ozAd3eyeWkFA8yC5R2A2U,0.539,0.489,2,-8.456,1,0.0635,0.59,0.0,0.197,0.515,84.211
Nowhere To Run,Fozzy,Nowhere To Run,5adebCdktVvmh8HSBe3QyN,5KdOgQ3VAK05QrGC98X9ta,37,2019-08-29,223683,False,https://open.spotify.com/track/5KdOgQ3VAK05QrGC98X9ta,0.399,0.93,7,-4.647,1,0.0435,6.76e-06,0.0927,0.318,0.33,92.804
The Good Life,Three Days Grace,Life Starts Now,0vv1zKShlm7WuawEup5Mf4,55KYlnsC6nYnr3IykbmJwE,62,2009-09-22,173173,False,https://open.spotify.com/track/55KYlnsC6nYnr3IykbmJwE,0.548,0.911,10,-3.701,1,0.0397,0.000345,0.0,0.23,0.654,128.036
Bullet,Hollywood Undead,American Tragedy (Deluxe Edition),00LaE2YT3EkPBED8vLyFvp,7MB22jLCA12Ev7Jjp3e1aU,2,2011,197813,True,https://open.spotify.com/track/7MB22jLCA12Ev7Jjp3e1aU,0.681,0.833,4,-4.334,1,0.121,0.179,0.0,0.0677,0.889,184.975
Paralyzed,NF,Mansion,3Qq4kVfHPrs8xPKIYKmctl,5DHQKZCOZhGNTbYBCekWx0,68,2015-03-31,270453,False,https://open.spotify.com/track/5DHQKZCOZhGNTbYBCekWx0,0.51,0.643,0,-6.602,1,0.0485,0.214,3.22e-06,0.101,0.0397,130.081
Last Resort,Papa Roach,Infest,0BHa0ePkvGAVKymB4FU58m,5W8YXBz9MTIDyrpYaCg2Ky,81,2001-04-25,199907,True,https://open.spotify.com/track/5W8YXBz9MTIDyrpYaCg2Ky,0.589,0.89,4,-3.719,0,0.06,0.000481,0.00082,0.201,0.687,90.586
45,Shinedown,Leave a Whisper (Deluxe Edition),0gLVNSNAW4ghjFqHMDFA3l,420JGkyLfLUZcgBHKiIK9v,68,2003-05-27,250093,False,https://open.spotify.com/track/420JGkyLfLUZcgBHKiIK9v,0.446,0.657,7,-4.494,1,0.0262,0.0022,0.0,0.189,0.215,152.132
Breaking Down,I Prevail,TRAUMA,2QRU8jGOJHDMrCTPKIHVik,4bE3cBcwAe7T5SklvbkiYZ,56,2019-03-29,206147,True,https://open.spotify.com/track/4bE3cBcwAe7T5SklvbkiYZ,0.503,0.568,4,-7.182,0,0.0341,0.00131,0.00144,0.0856,0.0705,126.935
Chop Suey!,System Of A Down,Toxicity,6jWde94ln40epKIQCd8XUh,2DlHlPMa4M17kufBvI2lEN,85,2001-09-04,210240,False,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066
One Last Breath,Creed,Weathered,2ENlJXygQX6en4iziijet6,42T2QQv3xgBlpQxaSP7lnK,75,2001-01-01,238240,False,https://open.spotify.com/track/42T2QQv3xgBlpQxaSP7lnK,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602
Coming Undone,Korn,See You On the Other Side,2c7ynrgZP08xNtkJi9MhjF,3o7TMr6RmIusYH7Kkg7ujR,75,2005-12-06,199773,False,https://open.spotify.com/track/3o7TMr6RmIusYH7Kkg7ujR,0.687,0.677,2,-4.172,1,0.0508,0.000643,0.000137,0.0564,0.545,75.052
Weight Of The World,Self Deception,Self Deception,5M9FOT0jgYTrrdxctE5jmV,09daYSqViNKKno469fJl7F,43,2018-02-26,223429,False,https://open.spotify.com/track/09daYSqViNKKno469fJl7F,0.496,0.883,8,-4.387,1,0.0405,0.00018,0.000274,0.132,0.304,104.984
Toxic,BoyWithUke,Toxic,4cmu24lnj0NI8lHG6vra6h,2gQPv5jvVPqU2a9HhMNO1v,65,2021-10-29,168020,False,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v,0.594,0.612,8,-6.627,0,0.363,0.835,0.0,0.461,0.687,179.629
Dead and Cold,SadBoyProlific,Dead and Cold,4LtNfDv6yfcLlGesOnGK2A,1A43TfohQt3H6K5zg28ExD,0,2018-11-10,89652,True,https://open.spotify.com/track/1A43TfohQt3H6K5zg28ExD,0.793,0.441,2,-10.297,0,0.579,0.867,0.0,0.111,0.753,74.746
Never Been In Love,Will Jay,Never Been In Love,5Coz04jY5UgUtvW0H2TzQ0,2z92ykRgZMcAooOwBaceoL,0,2018-04-06,170617,False,https://open.spotify.com/track/2z92ykRgZMcAooOwBaceoL,0.791,0.696,11,-5.521,1,0.115,0.0171,0.0,0.081,0.57,118.991
Oh No!,MARINA,The Family Jewels,3dWObfa3vKyudzgmh53Xzg,4umN41ggyywUcvMbZxhcHR,60,2009-07-15,180467,False,https://open.spotify.com/track/4umN41ggyywUcvMbZxhcHR,0.776,0.9,0,-3.97,1,0.0382,0.058,0.0,0.256,0.963,127.051
I'm not a good person,Pat The Bunny,"Probably Nothing, Possibly Everything",1mdup5fgvCJcq2eZzuSUzA,27wOKBP8KERkFP2sqqHloH,45,2014-12-19,174407,True,https://open.spotify.com/track/27wOKBP8KERkFP2sqqHloH,0.636,0.54,9,-6.632,1,0.0284,0.77,9.36e-06,0.343,0.584,132.779
Don't Wanna Fall in Love,Green Day,Shenanigans,3uxqKqchyNKPHdjzMrlmOC,2VZjhNysOVeGCtH71Apbbd,31,2002-07-02,98467,True,https://open.spotify.com/track/2VZjhNysOVeGCtH71Apbbd,0.414,0.98,8,-3.23,1,0.0885,0.00016,0.000409,0.0583,0.916,157.124
Fly On the Wall,Thousand Foot Krutch,The End Is Where We Begin,6YJYFQ1Zz9I49YQknK4wIn,61nJplehv0WVUKMQX0pd8O,56,2012-04-17,242772,False,https://open.spotify.com/track/61nJplehv0WVUKMQX0pd8O,0.61,0.663,4,-5.871,0,0.0322,0.00235,0.0,0.269,0.33,120.027
Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),7MejfRSNnrpcLZIxkeZDqR,4DMKwE2E2iYDKY01C335Uw,75,1976,323000,False,https://open.spotify.com/track/4DMKwE2E2iYDKY01C335Uw,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755
Inside Out,Five Finger Death Punch,Inside Out,3cOYrPug7OjbO2oPNe38eE,4Htt3QaBWdLggq88rJI5MU,44,2019-12-02,226349,True,https://open.spotify.com/track/4Htt3QaBWdLggq88rJI5MU,0.476,0.991,4,-2.855,0,0.15,0.00191,0.0,0.121,0.202,82.997
Here I Go Again - 2018 Remaster,Whitesnake,Whitesnake (2018 Remaster),70uPhkIhXTXM6MNNsMjAHx,6Nd6ntkzr4t8o1FKPGOSMt,66,1987,275395,False,https://open.spotify.com/track/6Nd6ntkzr4t8o1FKPGOSMt,0.292,0.823,7,-6.763,1,0.0407,0.0117,7.79e-05,0.155,0.244,89.939
Maybe My Soulmate Died,iamnotshane,Maybe My Soulmate Died,0sCKHcwHvwtLYuaBNfE6BL,7N1bEUVuQo8HHuikDgJ10c,0,2022-06-15,114375,False,https://open.spotify.com/track/7N1bEUVuQo8HHuikDgJ10c,0.614,0.489,0,-9.997,1,0.241,0.076,0.00152,0.123,0.504,96.039
What Doesn’t Kill You Mutates and Tries Again,iamnotshane,What Doesn’t Kill You Mutates and Tries Again,3vrrjsR4sOTlg6StJET8xq,2AAelyYn8MafDdW5merUfD,0,2022-08-31,176440,False,https://open.spotify.com/track/2AAelyYn8MafDdW5merUfD,0.634,0.562,11,-7.146,1,0.0667,0.364,0.0,0.0919,0.425,164.059
Life Is Strange,MARINA,Love + Fear,0CUxS3KfHNuDpUUjbAewV3,4ZTX8P6yC1dv6CY7b0Ql3g,40,2019-04-26,196619,False,https://open.spotify.com/track/4ZTX8P6yC1dv6CY7b0Ql3g,0.731,0.563,0,-6.745,1,0.0306,0.24,0.0,0.088,0.374,116.01
Is There Anybody Out There?,Machine Head,Is There Anybody Out There?,07lqIOrFHB6XAKq1rrIe8G,5aeIj88MLdekYvObw5Yisk,64,2016-06-03,272666,False,https://open.spotify.com/track/5aeIj88MLdekYvObw5Yisk,0.408,0.953,7,-3.883,1,0.226,0.00532,0.0,0.338,0.291,177.94
Numb Little Bug,Em Beihold,Numb Little Bug,20zaiRxxUfDqdCKsdSo7HM,3o9kpgkIcffx0iSwxhuNI2,71,2022-01-28,169238,False,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974
Lion,Hollywood Undead,Notes From The Underground,05ofL0H4dSj3jCuzEtVzZN,79CATxWpb9uezVeOIazKgs,55,2012-01-01,234933,False,https://open.spotify.com/track/79CATxWpb9uezVeOIazKgs,0.478,0.898,6,-5.603,1,0.106,0.00193,0.0,0.0703,0.536,168.953
Fake It,Seether,Finding Beauty In Negative Spaces (Bonus Track Version),59Tni3gA1OczshFWTMxmbo,4eAwB5pnKFTmsgc3zWoYO0,75,2007-01-01,193893,True,https://open.spotify.com/track/4eAwB5pnKFTmsgc3zWoYO0,0.611,0.95,8,-3.509,1,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078
Adam's Song,blink-182,Enema Of The State,652N05EcNH1a4bIlUixQE2,6xpDh0dXrkVp0Po1qrHUd8,71,1999-06-01,249627,False,https://open.spotify.com/track/6xpDh0dXrkVp0Po1qrHUd8,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.383,136.02
Alone,Nico Collins,Alone,00UZrcwpXdCGKrDymiDoLP,0Lu9pdU9sOqI2jFwxfztCb,53,2018-09-25,234001,True,https://open.spotify.com/track/0Lu9pdU9sOqI2jFwxfztCb,0.525,0.785,2,-2.407,0,0.0455,0.0356,0.0,0.103,0.47,170.116
King,Lauren Aquilina,Fools,7oNT7jXIVx1v3hQIt8ex1d,0zhzkkSXFj60Y5fzb2j9hU,0,2012-10-22,238000,False,https://open.spotify.com/track/0zhzkkSXFj60Y5fzb2j9hU,0.693,0.205,4,-9.403,1,0.0276,0.901,0.0,0.103,0.236,82.44
The Unforgiven,Metallica,Metallica,2Kh43m04B1UkVcpcRa1Zug,4aYLAF6ckQ5ooGGGM7sWAa,72,1991-08-12,386493,False,https://open.spotify.com/track/4aYLAF6ckQ5ooGGGM7sWAa,0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261
The Unforgiven II,Metallica,Reload,0Ip2GlQPoAIgdkqCO2YkMa,6nswV1Lz3OZkaiCJfmVUOa,66,1997-01-01,396440,False,https://open.spotify.com/track/6nswV1Lz3OZkaiCJfmVUOa,0.497,0.89,8,-4.559,0,0.0445,0.00055,0.00129,0.255,0.249,133.047
The Unforgiven III,Metallica,Death Magnetic,3bK58rVcWBh3V3vxMLzi0V,0qbV4e18lWrTTxlswVoLbI,57,2008-01-01,466587,False,https://open.spotify.com/track/0qbV4e18lWrTTxlswVoLbI,0.297,0.692,4,-5.625,0,0.0344,0.00196,3.75e-06,0.115,0.103,121.52
What A Perfect Day For Crying,iamnotshane,One Less Year Alive,4cJzhXGYFOmVz1ERyGKkbF,3HkKACiwPslfBXkEyQp7TM,44,2021-04-01,181818,False,https://open.spotify.com/track/3HkKACiwPslfBXkEyQp7TM,0.56,0.802,9,-7.231,0,0.0574,0.0129,3.37e-05,0.157,0.691,165.01
Breaking the Habit,Linkin Park,Meteora (Bonus Edition),0y13VbGddQ4azdVWakksAL,4HcDu9IGRCvSTJE4yW5Ugv,53,2003-09-16,196133,False,https://open.spotify.com/track/4HcDu9IGRCvSTJE4yW5Ugv,0.58,0.865,4,-4.359,0,0.0313,0.105,0.0,0.106,0.587,100.016
Anthem Of The Lonely,Nine Lashes,World We View,5hNY9GQIaQR7MOelvlY0qu,1bKRtH1leT7y003VikaXUc,58,2012-01-01,241720,False,https://open.spotify.com/track/1bKRtH1leT7y003VikaXUc,0.348,0.972,10,-3.144,0,0.0951,0.000364,0.0,0.119,0.652,196.213
CASTLE OF GLASS,Linkin Park,LIVING THINGS,4XHIjbhjRmqWlosjj5rqSI,1r1fPuhj9H4VdXr7OK6FL5,72,2012-06-19,205400,False,https://open.spotify.com/track/1r1fPuhj9H4VdXr7OK6FL5,0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0
Given Up,Linkin Park,Minutes to Midnight,2tlTBLz2w52rpGCLBGyGw6,1fLlRApgzxWweF1JTf8yM5,73,2007-05-14,189293,True,https://open.spotify.com/track/1fLlRApgzxWweF1JTf8yM5,0.655,0.886,7,-4.116,1,0.0435,0.00113,0.000409,0.0448,0.938,100.088
Leave Out All The Rest,Linkin Park,Minutes to Midnight,2tlTBLz2w52rpGCLBGyGw6,0sp00HSXkQyqTa6QqM0O8V,70,2007-05-14,209307,False,https://open.spotify.com/track/0sp00HSXkQyqTa6QqM0O8V,0.514,0.637,0,-6.418,1,0.0363,0.213,2.27e-06,0.389,0.18,80.401
What I've Done,Linkin Park,Minutes to Midnight,2tlTBLz2w52rpGCLBGyGw6,18lR4BzEs7e3qzc0KVkTpU,80,2007-05-14,205227,False,https://open.spotify.com/track/18lR4BzEs7e3qzc0KVkTpU,0.627,0.935,5,-4.882,1,0.0324,0.0092,0.0,0.147,0.287,120.092
